title,price,address,url,date
"1-к квартира, 40 м², 4/24 эт.",20 000 руб. в месяц,"м. Пионерская 1.9 км, Сизова пр-кт, 25",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_40_m_424_et._1201292513,12.11 22:02
"1-к квартира, 16 м², 6/9 эт.",22 000 руб. в месяц,"м. Пионерская 1.5 км, ул Парашютная",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_16_m_69_et._955163428,12.11 13:39
"1-к квартира, 34 м², 15/20 эт.",20 000 руб. в месяц,"м. Пионерская 4.5 км, ул. Парашютная 61 корпус 1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_34_m_1520_et._1191339210,11.11 20:52
"2-к квартира, 60 м², 22/24 эт.",24 000 руб. в месяц,"м. Пионерская 4.3 км, Шуваловский пр-кт д.37 к 1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_60_m_2224_et._1082688812,10.11 22:11
"2-к квартира, 60 м², 9/12 эт.",35 000 руб. в месяц,"м. Пионерская 3.5 км, Королева пр-кт, 48к1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_60_m_912_et._458684523,10.11 09:39
"2-к квартира, 54 м², 2/4 эт.",30 000 руб. в месяц,"м. Пионерская 1.6 км, ул третья линия первый половины",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_54_m_24_et._1112638797,10.11 08:44
"2-к квартира, 69 м², 9/17 эт.",30 000 руб. в месяц,"м. Пионерская 1.1 км, Серебристый б-р, 29к2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_69_m_917_et._1188690845,9.11 19:45
"2-к квартира, 70 м², 11/20 эт.",36 000 руб. в месяц,"м. Пионерская 400 м, Коломяжский пр-кт 20",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_70_m_1120_et._1097709020,7.11 21:33
"1-к квартира, 46 м², 2/10 эт.",25 000 руб. в месяц,"м. Пионерская 3.2 км, пр.Королева, д.43, корп.2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_46_m_210_et._1220866080,7.11 19:09
"Студия, 25 м², 14/16 эт.",20 000 руб. в месяц,"м. Пионерская 6 км, Россия, Санкт-Петербург, Кондратьевский проспект, 70к1",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_25_m_1416_et._1220920195,6.11 01:14
"1-к квартира, 40 м², 10/10 эт.",24 700 руб. в месяц,"м. Пионерская 3.5 км, Ул афанасьевская 1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_40_m_1010_et._1154013050,5.11 01:07
"2-к квартира, 46 м², 7/15 эт.",26 000 руб. в месяц,"м. Пионерская 500 м, Богатырский пр-кт д.4",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_46_m_715_et._1090657632,4.11 17:35
"1-к квартира, 42 м², 16/16 эт.",23 000 руб. в месяц,"м. Пионерская 2.9 км, ул Щербакова, 11",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_42_m_1616_et._1148341534,4.11 05:00
"2-к квартира, 81 м², 8/25 эт.",35 000 руб. в месяц,"м. Пионерская 900 м, Серебристый б-р, 17к1",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_81_m_825_et._1145376271,3.11 20:13
"2-к квартира, 70 м², 4/14 эт.",40 000 руб. в месяц,"м. Пионерская 500 м, Коломяжский пр-кт, 28",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_70_m_414_et._1111002922,2.11 16:16
"1-к квартира, 36 м², 2/9 эт.",20 000 руб. в месяц,"м. Пионерская 1.1 км, Россия, Санкт-Петербург, Байконурская улица, 7к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_36_m_29_et._1151185076,2.11 12:13
"1-к квартира, 35 м², 14/22 эт.",23 000 руб. в месяц,"м. Пионерская 5.6 км, Комендантский пр-кт 67",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35_m_1422_et._937016221,1.11 10:56
"2-к квартира, 76 м², 13/13 эт.",34 000 руб. в месяц,"м. Пионерская 400 м, Коломяжский пр-кт, 20",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_76_m_1313_et._925759593,31.10 23:53
"2-к квартира, 44.2 м², 1/9 эт.",35 000 руб. в месяц,"м. Пионерская 1.1 км, ул Байконурская, 15",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_44.2_m_19_et._1139354294,31.10 16:19
"1-к квартира, 40 м², 4/16 эт.",25 000 руб. в месяц,"м. Пионерская 500 м, Коломяжский пр-кт, 28",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_40_m_416_et._1001180411,30.10 12:07
"2-к квартира, 65 м², 3/8 эт.",30 000 руб. в месяц,"м. Пионерская 2 км, ул вторая Алексеевская, 7",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_65_m_38_et._1205945053,29.10 20:43
"1-к квартира, 31 м², 3/9 эт.",25 000 руб. в месяц,"м. Пионерская 700 м, Аэродромная улица, 11к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31_m_39_et._1169275361,26.10 22:05
"Студия, 30 м², 2/3 эт.",20 000 руб. в месяц,"м. Пионерская 3.4 км, Озерковский пр-кт, 40/2",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_30_m_23_et._911258949,26.10 20:06
